Sr No,Symbol,Security Name,Market Cap (INR)              
827,JAYAGROGN,JAYANT AGRO ORGANICS LTD ,6052500000.00
828,IMFA,INDIAN METALS & FERRO    ,6052301840.55
829,RSYSTEMS,R SYS INTERNATIONAL LTD  ,6050732740.00
830,MOLDTKPAC,MOLD-TEK PACKAGING LTD   ,6031111125.60
831,VISAKAIND,VISAKA INDUSTRIES LIMITED,5932329619.60
832,DATAMATICS,DATAMATICS GLOBAL SER LTD,5927355835.35
833,NRAIL,N R AGARWAL INDS LTD     ,5926901575.00
834,SUMMITSEC,SUMMIT SECURITIES LTD    ,5920757261.10
835,WEIZFOREX,WEIZMANN FOREX LIMITED   ,5908808209.15
836,HITECHGEAR,THE HI-TECH GEARS LIMITED,5842478400.00
837,PRABHAT,PRABHAT DAIRY LIMITED    ,5831265020.70
838,ZENTEC,ZEN TECHNOLOGIES LIMITED ,5829442533.00
839,VIMTALABS,VIMTA LABS LIMITED       ,5824302544.50
840,SINTEX,SINTEX INDUSTRIES LTD    ,5792427108.00
841,MANGLMCEM,MANGALAM CEMENT LTD      ,5709799542.00
842,NELCO,NELCO LTD                ,5658963200.00
843,SMSPHARMA,SMS PHARMACEUTICALS LTD. ,5642057799.50
844,SITINET,SITI NETWORKS LIMITED    ,5624747319.60
845,RJL,RENAISSANCE JEWEL. LTD.  ,5603417792.00
846,ASTRON,ASTRON PAPER BORD MIL LTD,5531175000.00
847,POKARNA,POKARNA LIMITED          ,5524912800.00
848,INDORAMA,INDO RAMA SYNTHETICS LTD ,5519321079.30
849,NSIL,NALWA SONS INVESTMENT LTD,5514698213.10
850,PRECAM,PRECISION CAMSHAFTS LTD. ,5461685512.50
851,GKWLIMITED,GKW LIMITED              ,5419073625.00
852,NCLIND,NCL INDUSTRIES LIMITED   ,5416626602.50
853,3IINFOTECH,3I INFOTECH LTD.         ,5413302844.95
854,DECCANCE,DECCAN CEMENTS LIMITED   ,5390086000.00
855,JAYBARMARU,JAY BHARAT MARUTI LTD    ,5383272500.00
856,MIRCELECTR,MIRC ELECTRONICS LTD     ,5358100760.80
857,CENTENKA,CENTURY ENKA LTD         ,5352301775.55
858,SANDESH,SANDESH LTD              ,5351580647.00
859,PNBGILTS,PNB GILTS LIMITED        ,5346300979.80
860,ALOKTEXT,ALOK INDUSTRIES LTD      ,5301984368.45
861,SREEL,SREELEATHERS LIMITED     ,5283810270.60
862,SNOWMAN,SNOWMAN LOGISTICS LTD.   ,5246563043.00
863,MUNJALAU,MUNJAL AUTO IND. LTD.    ,5235000000.00
864,XCHANGING,XCHANGING SOLUTIONS LTD  ,5219264094.60
865,BIRLACABLE,BIRLA CABLE LIMITED      ,5212500000.00
866,ADFFOODS,ADF FOODS LIMITED        ,5137114000.30
867,SPIC,SPIC LTD                 ,5121554450.40
868,IFBAGRO,IFB AGRO INDUSTRIES LTD  ,5073227317.60
869,GANDHITUBE,GANDHI SPL. TUBES LTD    ,5066595556.40
870,BHAGERIA,BHAGERIA INDUSTRIES LTD  ,5063542346.50
871,NAGAFERT,NAGARJUN FERT AND CHE LTD,5053649275.35
872,SQSBFSI,SQS INDIA BFSI LIMITED   ,5010648293.70
873,MARATHON,MARATHON NXTGEN REALT LTD,4974900000.00
874,KDDL,KDDL LIMITED             ,4937137021.30
875,CENTUM,CENTUM ELECTRONICS LTD   ,4934089266.90
876,THANGAMAYL,THANGAMAYIL JEWELLERY LTD,4902006648.60
877,RUBYMILLS,THE RUBY MILLS LTD       ,4881404000.00
878,PRECWIRE,PRECISION WIRES INDIA LTD,4868285283.00
879,INDTERRAIN,IND TERRAIN FASHIONS LTD ,4822339230.00
880,MANGCHEFER,MANG.CHEM.FERT.LTD       ,4811715090.00
881,RTNINFRA,RATTANINDIA INFRA LIMITED,4768830092.40
882,RSWM,RSWM LIMITED             ,4763157794.50
883,ADORWELD,ADOR WELDING LTD         ,4754703986.55
884,PATELENG,PATEL ENGINEERING LTD.   ,4749089402.75
885,RIIL,RELIANCE INDUSTRIAL INFRA,4739135000.00
886,ASIANTILES,ASIAN GRANITO IND. LTD.  ,4726737766.60
887,BALLARPUR,BALLARPUR INDUSTRIES LTD ,4721113509.40
888,NITINSPIN,NITIN SPINNERS LIMITED   ,4677504000.00
889,RELIGARE,RELIGARE ENTER. LTD.     ,4642574486.20
890,ORISSAMINE,ORISSA MIN DEV CO LTD    ,4600800000.00
891,PLASTIBLEN,PLASTIBLENDS INDIA LTD   ,4583195420.00
892,SHREYAS,SHREYAS SHIPPING & LOGIST,4482630361.95
893,SPECIALITY,SPECIALITY REST LTD      ,4470368946.40
894,RML,RANE (MADRAS) LIMITED    ,4464260268.60
895,MSPL,MSP STEEL & POWER LTD.   ,4451543250.00
896,SDBL,SOM DIST & BREW LTD      ,4440466234.90
897,TANLA,TANLA SOLUTIONS LIMITED  ,4412561616.00
898,PROZONINTU,PROZONE INTU PROPRTIS LTD,4387332886.25
899,MENONBE,MENON BEARINGS LIMITED   ,4385130000.00
900,ARVSMART,ARVIND SMARTSPACES LTD   ,4374909607.50
901,SHREEPUSHK,SHRE PUSH CHEM & FERT LTD,4352098511.50
902,MANALIPETC,MANALI PETROCHEMICALS LT ,4325780609.35
903,GOACARBON,GOA CARBON LIMITED       ,4324787175.20
904,PENIND,PENNAR INDUSTRIES LTD    ,4320547552.60
905,DWARKESH,DWARIKESH SUGAR IND LTD  ,4312103663.00
906,NACLIND,NACL INDUSTRIES LIMITED  ,4303275900.00
907,FCL,FINEOTEX CHEMICAL LIMITED,4296180000.00
908,VIPULLTD,VIPUL LIMITED            ,4295444384.00
909,ALANKIT,ALANKIT LIMITED          ,4281595095.00
910,AGLSL,ARTEM GLOBAL LIFE SC LTD ,4236064000.00
911,TDPOWERSYS,TD POWER SYSTEMS LTD.    ,4217849917.20
912,RBL,RANE BRAKE LINING LTD    ,4213539603.00
913,ORICONENT,ORICON ENTERPRISES LTD   ,4208878762.00
914,GENESYS,GENESYS INTL CORPN LTD   ,4200455707.20
915,BLKASHYAP,B.L.KASHYAP & SON LTD    ,4190308000.00
916,BUTTERFLY,BTRFLY GANDHI APPL LTD   ,4181133001.35
917,JPINFRATEC,JAYPEE INFRATECH LTD     ,4166800491.00
918,PPAP,PPAP AUTOMOTIVE LIMITED  ,4153800000.00
919,SETCO,SETCO AUTOMOTIVE LTD     ,4143995525.00
920,GRAVITA,GRAVITA INDIA LIMITED    ,4131677511.40
921,KELLTONTEC,KELLTON TECH SOL LTD     ,4125169630.40
922,CONTROLPR,CONTROL PRINT LIMITED    ,4118857766.40
923,PRICOLLTD,PRICOL LIMITED           ,4114177691.40
924,PRAXIS,PRAXIS HOME RETAIL LTD   ,4100197471.60
925,MTEDUCARE,MT EDUCARE LTD           ,4098922586.40
926,DHANBANK,DHANLAXMI BANK LIMITED   ,4086145156.60
927,MADRASFERT,MADRAS FERTILISERS LTD   ,4083917955.00
928,SANGHVIMOV,SANGHVI MOVERS LTD       ,4079894000.00
929,63MOONS,63 MOONS TECHNOLOGIES LTD,4071038743.95
930,NECLIFE,NECTAR LIFESCIENCES LTD. ,4070336605.50
931,UNITECH,UNITECH LIMITED          ,4055266622.85
932,GALLANTT,GALLANTT METAL LIMITED   ,4037653386.60
933,AHLWEST,ASIAN HOTELS (WEST) LTD  ,3983548699.00
934,GLOBUSSPR,GLOBUS SPIRITS LTD       ,3982938764.40
935,KAMDHENU,KAMDHENU LIMITED         ,3979640000.00
936,WINDMACHIN,WINDSOR MACHINES LIMITED ,3957593210.00
937,BINDALAGRO,OSWAL CHEM. & FERT. LTD. ,3954861048.60
938,BGRENERGY,BGR ENERGY SYSTEMS LTD   ,3940021176.00
939,SHIVAMAUTO,SHIVAM AUTO.LTD          ,3940000000.00
940,ABAN,ABAN OFFSHORE LTD.       ,3919231439.45
941,TBZ,TRIB BHIMJI ZAVERI LTD   ,3907077801.00
942,CREST,CREST VENTURES LIMITED   ,3847862500.00
943,8KMILES,8K MILES SOFT SERV LTD   ,3845218230.00
944,COSMOFILMS,COSMO FILMS LTD          ,3809282892.20
945,VIDHIING,VIDHI SPCLTY F INGRDNTS L,3800814500.00
946,HARITASEAT,HARITA SEATING SYS. LTD  ,3780803316.00
947,LINCOLN,LINCOLN PHARMA LTD       ,3776000000.00
948,TCPLPACK,TCPL PACKAGING LIMITED   ,3758300000.00
949,SALASAR,SALASAR TECHNO ENGG. LTD.,3717216867.20
950,SUBEX,SUBEX LIMITED            ,3681119224.25
951,ONMOBILE,ONMOBILE GLOBAL LTD.     ,3651803779.10
952,UCALFUEL,UCAL FUEL SYSTEMS LTD    ,3650959487.50
953,GREENPOWER,ORIENT GREEN POWER CO LTD,3603475089.60
954,AVADHSUGAR,AVADH SUG & ENERGY LTD   ,3587300864.00
955,INDRAMEDCO,INDRAPRASTHA MEDICAL CORP,3575247000.00
956,MANINDS,MAN INDUSTRIES (I) LTD.  ,3568940937.50
957,HPL,HPL ELECTRIC & POWER LTD ,3555816875.80
958,RAMANEWS,SHREE RAMA NEWSPRINT LTD ,3555280971.20
959,AVTNPL,AVT NATURAL PRODUCTS LTD ,3548217200.00
960,AKSHOPTFBR,AKSH OPTIFIBRE LIMITED   ,3546815767.80
961,RPGLIFE,RPG LIFE SCIENCES LTD    ,3541003111.50
962,TALWGYM,TALWALKARS HEALTHCLUB LTD,3536103826.80
963,EMAMIREAL,EMAMI REALTY LIMITED     ,3535666402.95
964,KRIDHANINF,KRIDHAN INFRA LIMITED    ,3525786426.00
965,LINCPEN,LINC PEN & PLASTICS LTD  ,3524233566.00
966,DEEPIND,DEEP INDUSTRIES LTD      ,3515200000.00
967,SHALPAINTS,SHALIM PAINTS LTD        ,3509741851.20
968,VADILALIND,VADILAL INDUSTRIES LTD   ,3501910776.00
969,VARDHACRLC,VARDHAMAN ACRYLICS LTD   ,3411441017.70
970,SKIL,SKIL INFRASTRUCTURE LTD. ,3410996904.00
971,HERCULES,HERCULES HOI. LTD.       ,3403200000.00
972,DCW,DCW LTD                  ,3381107327.10
973,TVSELECT,TVS ELECTRONICS LTD      ,3371711980.70
974,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,3364378200.00
975,DVL,DHUNSERI VENTURES LIMITED,3348366482.40
976,CEREBRAINT,CEREBRA INT TECH LTD     ,3340724875.50
977,ADVANIHOTR,ADVANI HOT.& RES.(I) LTD ,3339340812.50
978,UTTAMSUGAR,UTTAM SUGAR MILLS LTD.   ,3312295722.00
979,WALCHANNAG,WALCHANDNAGAR INDUSTRIES ,3304493794.00
980,VIKASECO,VIKAS ECOTECH LIMITED    ,3302816165.00
981,AGCNET,AGC NETWORKS LIMITED     ,3302109824.00
982,KILITCH,KILITCH DRUGS INDIA LTD  ,3281415215.40
983,ZODIACLOTH,ZODIAC CLOTHING CO. LTD. ,3272979405.20
984,CAPTRUST,CAPITAL TRUST LIMITED    ,3272283000.00
985,ZUARIGLOB,ZUARI GLOBAL LIMITED     ,3260546893.00
986,AKSHARCHEM,AKSHARCHEM INDIA LIMITED ,3254787712.00
987,NAHARSPING,NAHAR SPINNING MILLS LTD.,3235057679.10
988,OMMETALS,OM METALS INFRAPRO LTD   ,3211732030.15
989,DICIND,DIC INDIA LIMITED        ,3193825047.15
990,ORBTEXP,ORBIT EXPORTS LIMITED    ,3164879872.00
991,GOKEX,GOKALDAS EXPORTS LTD.    ,3159795929.40
992,ROHLTD,ROYAL ORCHID HOTELS LTD  ,3152613631.40
993,EKC,EVEREST KANTO CYLINDERLTD,3119373559.60
994,TNPETRO,TAMILNADU PETROPRODUCTS L,3113013000.40
995,5PAISA,5PAISA CAPITAL LIMITED   ,3092397590.50
996,BASML,BANNARI AM SPIN MILL LTD.,3087049010.55
997,VSSL,VARDHMAN SPC STEEL LTD   ,3078898680.00
998,JAYNECOIND,JAYASWAL NECO INDUSTR LTD,3065438702.40
999,RANEENGINE,RANE ENG VALVE LTD       ,3023882349.60
1000,JINDRILL,JINDAL DRILLING IND. LTD ,3011136705.60
1001,PODDARHOUS,PODDAR HOUSE & DVPT LTD  ,3007077710.00
1002,SASTASUNDR,SASTASUNDAR VENTURES LTD ,3006092250.00
1003,NBIFIN,N.B.I. IND. FIN. CO. LTD ,2997426160.30
1004,PGIL,PEARL GLOBAL IND LIMITED ,2983124124.90
1005,ALPHAGEO,ALPHAGEO (INDIA) LIMITED ,2955161318.10
1006,KANORICHEM,KANORIA CHEMICALS & INDUS,2953669310.80
1007,GANESHHOUC,GANESH HOUSING CORP LTD  ,2953625400.00
1008,GULPOLY,GULSHAN POLYOLS LIMITED  ,2946388856.00
1009,GULFPETRO,GP PETROLEUMS LIMITED    ,2906109831.00
1010,ASIANHOTNR,ASIAN HOTELS (NORTH) LTD ,2878105230.55
1011,ORIENTABRA,ORIENT ABRASIVE LTD      ,2871340800.00
1012,SELAN,SELAN EXPLO. TECH LTD    ,2862620000.00
1013,NILAINFRA,NILA INFRASTRUCTURES LTD ,2855696700.00
1014,VASCONEQ,VASCON ENGINEERS LTD     ,2850187456.00
1015,RUCHIRA,RUCHIRA PAPERS LIMITED   ,2847161789.60
1016,SAKSOFT,SAKSOFT LIMITED          ,2843438750.00
1017,ROSSELLIND,ROSSELL INDIA LIMITED    ,2827463398.75
1018,AURIONPRO,AURIONPRO SOLN LTD       ,2820992524.35
1019,ALLSEC,ALLSEC TECHNOLOGIES LTD  ,2787851741.70
1020,PARSVNATH,PARSVNATH DEVELOPER LTD  ,2785159488.00
1021,NDL,NANDAN DENIM LIMITED     ,2784442795.20
1022,APCL,ANJANI PORTLAND CEM LTD  ,2781426560.00
1023,AHLEAST,ASIAN HOTELS (EAST) LTD  ,2730935109.30
1024,MERCATOR,MERCATOR LIMITED         ,2722134015.00
1025,HUBTOWN,HUBTOWN LIMITED          ,2716684781.85
1026,BHARATWIRE,BHARAT WIRE ROPES LTD.   ,2697134880.00
1027,FMNL,FUTURE MKT NETWORKS LTD  ,2687908667.75
1028,LIBERTSHOE,LIBERTY SHOES LTD        ,2683800000.00
1029,KOTHARIPRO,KOTHARI PRODUCTS LTD     ,2669533724.25
1030,RPPINFRA,R.P.P INFRA PROJECTS LTD ,2661218766.00
1031,BIL,BHARTIYA INTERNATIONAL   ,2649328821.35
1032,PTL,PTL ENTERPRISES LTD      ,2630992875.00
1033,THEMISMED,THEMIS MEDICARE LTD.     ,2627126553.30
1034,BIRLAMONEY,ADITYA BIRLA MONEY LTD   ,2626073814.75
1035,DLINKINDIA,D-LINK INDIA LTD         ,2584753080.00
1036,PENINLAND,PENINSULA LAND LIMITED   ,2582611285.00
1037,SRHHYPOLTD,SREE RAYALSEEMA HHP LTD. ,2575581391.05
1038,NITCO,NITCO LIMITED            ,2540214059.25
1039,TALBROAUTO,TALBROS AUTO. COMP. LTD  ,2527150461.00
1040,ESSARSHPNG,ESSAR SHIPPING LTD       ,2525108078.40
1041,NIPPOBATRY,INDO-NATIONAL LIMITED    ,2514375000.00
1042,PREMEXPLN,PREMIER EXPLOSIVES LTD   ,2514087802.65
1043,BRFL,BOMBAY RAYON FASHIONS LTD,2508064184.10
1044,KARDA,KARDA CONSTRUCTIONS LTD  ,2500590000.00
1045,ESTER,ESTER INDUSTRIES LTD     ,2497643082.05
1046,SHIVATEX,SHIVA TEXYARN LIMITED    ,2463563605.65
1047,IL&FSTRANS,IL&FS TRANS NET LTD      ,2450752201.15
1048,OPTOCIRCUI,OPTO CIRCUITS (I) LTD.   ,2429336180.70
1049,APOLLO,APOLLO MICRO SYSTEMS LTD ,2424183690.50
1050,TIL,TIL LTD                  ,2399239388.00
1051,SWELECTES,SWELECT ENERGY SYS LTD   ,2379420028.00
1052,SANGAMIND,SANGAM (INDIA) LTD       ,2373177851.80
1053,CANTABIL,CANTABIL RETAIL LTD      ,2356890214.80
1054,RAJTV,RAJ TV NETWORK LTD       ,2354270150.40
1055,AXISCADES,AXISCADES ENGG TECH LTD  ,2350530742.50
1056,APOLSINHOT,APOLLO SINDOORI HOTEL LTD,2348031180.00
1057,SARLAPOLY,SARLA PERF. FIBERS LTD   ,2342259150.00
1058,GEECEE,GEECEE VENTURES LIMITED  ,2339948681.10
1059,MANAKSIA,MANAKSIA LTD.            ,2333012180.00
1060,RUCHISOYA,RUCHI SOYA INDUSTRIES LTD,2305294981.80
1061,ASHAPURMIN,ASHAPURA MINECHEM LTD    ,2292083682.30
1062,NDTV,NDTV LTD                 ,2291953541.85
1063,EMKAY,EMKAY GLOBAL FIN SERV LTD,2289569790.00
1064,KABRAEXTRU,KABRA EXTRUSION TECHNIK L,2287396344.00
1065,ORIENTBELL,ORIENT BELL LIMITED      ,2279772160.00
1066,ASAHISONG,ASAHI SONGWON COLOR LTD  ,2262391499.70
1067,GOKULAGRO,GOKUL AGRO RESOURCES LTD ,2248809750.00
1068,JAYSREETEA,JAYSHREE TEA & INDUSTRIES,2230785948.00
1069,TRIGYN,TRIGYN TECHNOLOGIES LTD  ,2225599529.40
1070,SPICEMOBI,SPICE MOBILITY LIMITED   ,2176101028.10
1071,RMCL,RADHA MADHAV CO. LTD.    ,2167191102.50
1072,EIMCOELECO,EIMCO ELECON (INDIA) LTD ,2145839220.00
1073,ALBERTDAVD,ALBERT DAVID LIMITED     ,2142183256.70
1074,GOKUL,GOKUL REFOILS & SOLV LTD ,2136699000.00
1075,TI,TILAKNAGAR INDUSTRIES LTD,2133530693.25
1076,ARMANFIN,ARMAN FIN SERV LTD       ,2129568792.00
1077,GUJAPOLLO,GUJ. APOLLO IND. LTD.    ,2128721796.80
1078,CHEMFAB,CHEMFAB ALKALIS LIMITED  ,2116218284.40
1079,SILINV,SIL INVESTMENTS LIMITED  ,2099039866.00
1080,ARIHANTSUP,ARIHANT SUPERSTRUCT LTD  ,2090927542.80
1081,ISFT,INTRASOFT TECH. LTD      ,2087478772.60
1082,GENUSPAPER,GENUS P&B LIMITED        ,2069863817.00
1083,VIVIMEDLAB,VIVIMED LABS LIMITED     ,2063097875.00
1084,ADHUNIKIND,ADHUNIK INDUSTRIES LTD   ,2050590437.50
1085,HITECH,HI-TECH PIPES LIMITED    ,2029463615.00
1086,PARACABLES,PARAMOUNT COMM LTD       ,2027050787.00
1087,STARPAPER,STAR PAPER MILLS LTD     ,2018159655.00
1088,PENPEBS,PENNAR ENG BLDG SYS LTD  ,2015364766.80
1089,CMICABLES,CMI LIMITED              ,2011425119.45
1090,PIONDIST,PIONEER DIST LTD         ,2003544130.00
1091,INDSWFTLAB,IND SWIFT LABORATORIES LT,1976352049.80
1092,VIPCLOTHNG,VIP CLOTHING LIMITED     ,1965797152.20
1093,GSCLCEMENT,GUJARAT SIDHEE CEM. LTD. ,1947077055.20
1094,SALZERELEC,SALZER ELECTRONICS LTD   ,1943949905.30
1095,EMMBI,EMMBI INDUSTRIES LIMITED ,1937966887.50
1096,STEL,STEL HOLDINGS LIMITED    ,1929512592.75
1097,DONEAR,DONEAR IND. LIMITED      ,1929200000.00
1098,GOLDIAM,GOLDIAM INTERNATIONAL LTD,1927078191.00
1099,KCPSUGIND,KCP SUGAR IND CORP LTD.  ,1916207345.00
1100,PDMJEPAPER,PUDUMJEE PAPER PRO. LTD  ,1913242500.00
1101,VLSFINANCE,VLS FINANCE LTD          ,1906037438.10
1102,HOVS,HOV SERVICES LTD         ,1901564220.60
1103,ELECTHERM,ELECTROTHERM (I) LTD.    ,1899953567.40
1104,GSS,GSS INFOTECH LIMITED     ,1894385889.55
1105,ANSALAPI,ANSAL PROP & INFRA LTD   ,1888858512.00
1106,KOPRAN,KOPRAN LTD               ,1883650817.10
1107,NAHARINDUS,NAHAR INDS ENT LTD       ,1882210412.25
1108,HIRECT,HIND RECTIFIER LIMITED   ,1855965162.15
1109,HITECHCORP,HITECH CORPORATION LTD   ,1854116815.00
1110,ASHIMASYN,ASHIMA LTD               ,1830467733.00
1111,A2ZINFRA,A2Z INFRA ENGINEERING LTD,1822840530.30
1112,BPL,BPL LTD                  ,1808738266.00
1113,SMARTLINK,SMARTLINK HOLDINGS LTD   ,1801745000.00
1114,IVC,IL&FS INVESTMENT MANAGERS,1789986618.00
1115,OMAXAUTO,OMAX AUTOS LTD           ,1784496285.50
1116,PODDARMENT,PODDAR PIGMENTS LIMITED  ,1782480000.00
1117,CLEDUCATE,CL EDUCATE LIMITED       ,1778500872.90
1118,PITTIENG,PITTI ENGINEERING LIMITED,1762825639.50
1119,SMSLIFE,SMS LIFESCIENCES (I) LTD ,1749878515.60
1120,AGARIND,AGARWAL INDS CORP LTD.   ,1731676493.60
1121,RAMASTEEL,RAMA STEEL TUBES LIMITED ,1721385000.00
1122,VISHNU,VISHNU CHEMICALS LIMITED ,1719629579.00
1123,CUPID,CUPID LIMITED            ,1712599200.00
1124,SKMEGGPROD,SKM EGG PROD EXPORT(I) LT,1707500500.00
1125,SHREYANIND,SHREYANS INDUSTRIES LTD  ,1705313750.00
1126,NEXTMEDIA,NEXT MEDIAWORKS LIMITED  ,1695735217.80
1127,DHUNINV,DHUNSERI INVESTMENTS LTD ,1688003729.30
1128,URJA,URJA GLOBAL LIMITED      ,1673779800.00
1129,SHIRPUR-G,SHIRPUR GOLD REFINERY LTD,1649165633.20
1130,PILITA,PIL ITALICA LIFESTYLE LTD,1645000000.00
1131,JAIBALAJI,JAI BALAJI INDUSTRIES LTD,1638570262.00
1132,SPLIL,SPL INDUSTRIES LIMITED   ,1605150221.40
1133,BYKE,THE BYKE HOSPITALITY LTD ,1599902220.00
1134,MAWANASUG,MAWANA SUGARS LIMITED    ,1599879737.60
1135,DTIL,DHUNSERI TEA & IND. LTD. ,1596428332.90
1136,HINDMOTORS,HINDUSTAN MOTORS LIMITED ,1596243591.45
1137,ECEIND,ECE INDUSTRIES LTD.      ,1593662229.25
1138,UTTAMSTL,UTTAM GALVA STEELS LTD   ,1593313153.60
1139,ORIENTLTD,ORIENT PRESS LIMITED     ,1589500000.00
1140,GOODLUCK,GOODLUCK INDIA LIMITED   ,1588581562.50
1141,AYMSYNTEX,AYM SYNTEX LIMITED       ,1581958009.60
1142,KWALITY,KWALITY LIMITED          ,1580871202.10
1143,TRIL,TRANS & RECTI. LTD       ,1564256498.00
1144,KGL,KARUTURI GLOBAL LIMITED  ,1529589972.00
1145,JBFIND,JBF INDUSTRIES LTD       ,1518722798.95
1146,NAHARCAP,NAHAR CAP & FIN.         ,1506317721.65
1147,IITL,INDUSTRIAL INV TRUST LTD ,1503918195.00
1148,UNITEDTEA,UNITED NILGIRI TEA LTD   ,1503466709.40
1149,BCG,BRIGHTCOM GROUP LIMITED  ,1500192221.85
1150,ATLANTA,ATLANTA LIMITED          ,1491450000.00
1151,INSPIRISYS,INSPIRISYS SOLUTIONS LTD ,1488093650.00
1152,MAHAPEXLTD,MAHA RASHTRA APEX COPR. L,1486468005.00
1153,LOVABLE,LOVABLE LINGERIE LTD     ,1481480000.00
1154,CONSOFINVT,CONSO. FIN. & HOLD. LTD. ,1470849653.00
1155,KREBSBIO,KREBS BIOCHEMICALS & IND ,1467579642.20
1156,JMTAUTOLTD,JMT AUTO LIMITED         ,1461113206.00
1157,HARRMALAYA,HARRISON MALAYALAM LTD   ,1457054224.75
1158,PGEL,PG ELECTROPLAST LTD      ,1441999066.20
1159,MBLINFRA,MBL INFRASTRUCTURES LTD  ,1429900617.60
1160,BINANIIND,BINANI INDUSTRIES LTD    ,1408341257.50
1161,IL&FSENGG,IL&FS ENG AND CONS CO LTD,1402995534.60
1162,KAKATCEM,KAKATIYA CEM SUGAR &IND L,1399683132.90
1163,SAKHTISUG,SAKTHI SUGARS LTD        ,1396476173.00
1164,UGARSUGAR,THE UGAR SUGAR WORKS LTD ,1395000000.00
1165,SIGIND,SIGNET INDUSTRIES LIMITED,1377651600.00
1166,SUPERHOUSE,SUPERHOUSE LIMITED       ,1365446250.00
1167,VINYLINDIA,VINYL CHEMICALS (I) LTD. ,1363364202.85
1168,MAHASTEEL,MAHAMAYA STEEL INDS LTD  ,1362468160.00
1169,SUNDRMBRAK,SUNDARAM BRAK LININGS LTD,1357428375.00
1170,GPTINFRA,GPT INFRAPROJECTS LTD    ,1353953300.00
1171,DYNPRO,DYNEMIC PRODUCTS LIMITED ,1341288361.60
1172,ANDHRACEMT,ANDHRA CEMENTS LIMITED   ,1335518238.60
1173,DUCON,DUCON INFRATECHNOLOGIES L,1329373985.90
1174,TECHNOFAB,TECHNOFAB ENG LTD        ,1324362500.00
1175,AUTOIND,AUTOLINE INDUSTRIES LTD  ,1324061853.40
1176,20MICRONS,20 MICRONS LTD           ,1307364899.10
1177,FLEXITUFF,FLEXITUFF VENTURES INT L ,1306347315.00
1178,TTL,T T LIMITED              ,1292032805.00
1179,JUBLINDS,JUBILANT INDUSTRIES LTD  ,1286769242.85
1180,TCIDEVELOP,TCI DEVELOPERS LIMITED   ,1286653695.00
1181,BHARATGEAR,BHARAT GEARS LTD.        ,1285346189.05
1182,DENORA,DE NORA INDIA LIMITED    ,1284689428.00
1183,MANAKSTEEL,MANAKSIA STEELS LTD      ,1271360570.00
1184,DCM,DCM LTD                  ,1270086932.00
1185,NOIDATOLL,NOIDA TOLL BRIDGE CO LTD ,1266126013.60
1186,CAREERP,CAREER POINT LIMITED     ,1258691672.70
1187,INVENTURE,INVENTURE GRO & SEC LTD  ,1247400000.00
1188,UMANGDAIRY,UMANG DAIRIES LIMITED    ,1243180800.00
1189,KOTHARIPET,KOTHARI PETROCHEM LTD    ,1235774400.00
1190,MOLDTECH,MOLD-TEK TECHNOLOGIES LTD,1234984646.80
1191,GRPLTD,GRP LIMITED              ,1232266358.60
1192,REVATHI,REVATHI EQUIPMENT LTD    ,1229844143.00
1193,ASPINWALL,ASPINWALL & CO LTD       ,1227471216.00
1194,JHS,JHS SVEND. LAB. LTD      ,1224862787.50
1195,TALWALKARS,TALWALKAR FITNESS LTD    ,1223141569.20
1196,LEEL,LEEL ELECTRICALS LIMITED ,1220050865.00
1197,KOHINOOR,KOHINOOR FOODS LIMITED   ,1219356938.00
1198,HEXATRADEX,HEXA TRADEX LIMITED      ,1212621252.80
1199,NILASPACES,NILA SPACES LIMITED      ,1201362060.00
1200,CINELINE,CINELINE INDIA LIMITED   ,1199800000.00
1201,BANSWRAS,BANSWARA SYNTEX LIMITED  ,1198978742.10
1202,TRF,TRF LIMITED              ,1198380466.80
1203,ARIES,ARIES AGRO LTD.          ,1198349838.85
1204,UJAAS,UJAAS ENERGY LIMITED     ,1170000000.00
1205,MAZDA,MAZDA LIMITED            ,1169672600.00
1206,SHYAMCENT,SHYAM CENTURY FERROUS LTD,1166408197.50
1207,PONNIERODE,PONNIE SUGARS (ERODE) LTD,1163795876.30
1208,VETO,VETO SWITCHGEAR CABLE LTD,1157410525.25
1209,GILLANDERS,GILLANDERS ARBUTHNOT LTD ,1156755153.20
1210,ARROWGREEN,ARROW GREENTECH LIMITED  ,1152275896.20
1211,ELGIRUBCO,ELGI RUBBER CO. LTD      ,1141140000.00
1212,COMPINFO,COMPUAGE INFOCOM LTD     ,1136618903.25
1213,PRIMESECU,PRIME SECURITIES LIMITED ,1134089606.25
1214,MARALOVER,MARAL OVERSEAS LTD       ,1131093000.00
1215,KECL,KIRLOSKAR ELECTRIC CO LTD,1125718503.45
1216,INDOTECH,INDO TECH TRANSFORM LTD. ,1125189000.00
1217,IVP,IVP LTD                  ,1125046353.85
1218,ISMTLTD,ISMT LIMITED             ,1120735579.95
1219,SPMLINFRA,SPML INFRA LIMITED       ,1110503362.80
1220,GINNIFILA,GINNI FILAMENTS LTD      ,1109206020.50
1221,CCHHL,COUNTRY CLUB HOSP HOL LTD,1103386961.25
1222,MODIRUBBER,MODI RUBBER LTD          ,1100531381.40
1223,KALYANIFRG,KALYANI FORGE LIMITED    ,1081031700.00
1224,CEBBCO,COMMERCIAL ENG & CO. LTD ,1076882094.40
